TAG,DATE,GROUP,BIRD,SEX,STATUS,LR,UR,LL,UL,Comments
5555 4B4C,3/1/2016,BLMP,5378,M,B,DGREEN,D BLUE-YEL(N),B PINK-L PINK,M,
66AA CC99,3/1/2016,BLMP,4599,F,B,MAUVE,M,DGREEN-DPK(N),DGREEN,
66CC 5252,3/1/2016,BLMP,5834,F,H,M,D BLUE-LGREEN,MAUVE -ORANGE,ORANGE-MAUVE,
2A52 6646,4/25/2016,GATR,5736,F,B,FGREEN,MAUVE,L BLUE-D BLUE,M,
4B33 3352,4/25/2016,GATR,4937,M,B,BLACK -RED,M,L PINK-B PINK,LGREEN-RED,
5266 5552,4/25/2016,GATR,5838,M,H,B PINK,FGREEN,M,ORANGE,
5555 2D2D,4/25/2016,GATR,5840,F,B,DGREEN,M,BROWN,M BLUE,
66AA D2CC,4/25/2016,GATR,5839,M,H,M,RED   -WHITE,LGREEN-L BLUE,D BLUE-DPK(N),
52D5 ADAA,5/28/2016,Y,5904,M,H,M,BLACK -WHT(N),WHITE,LGREEN-DGREEN,
66AA AAB4,5/29/2016,Y,5907,F,H,RED   -WHITE,WHITE -ORANGE,M,BLACK -MAUVE,
552A 5534,7/11/2016,1800,4589,M,B,M,B PINK-WHT(N),LGREEN,WHITE,
